"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ACAD9",415.611107391174,0.252326757682718,0.287350571188078,0.878114689800159,0.379881481860506,0.574447473234704
"ACADL",4.43475773117464,0.710985712885241,0.743772093847425,0.955918780452511,0.339113269900719,0.533879510588135
"ACADM",465.532287008056,0.62767314970652,0.322912276357175,1.94378843934768,0.0519209684342221,0.156507094365824
"ACADS",61.7337486751044,0.370484393117366,0.366561596576073,1.01070160261723,0.312159269785002,0.505032285202162
"ACADSB",1487.74116175655,-0.408198278683745,0.498263159785194,-0.819242343463087,0.412648160649671,0.605718310400663
"ACADVL",1549.31573477404,0.0864929535056665,0.291369339028513,0.296849880615621,0.76658112168617,0.868613470534197
"ACAN",78.0476568362401,0.363077641160504,0.635589979017302,0.571245068592594,0.567833531831307,0.733260677777939
"ACAP1",88.6297132671124,0.154654929463155,0.384404380367174,0.402323535739713,0.687445935695559,0.818899645327175
"ACAP2",1225.99800581781,-0.0307582117905158,0.259984750113568,-0.118307753732017,0.905823813959063,0.952213924180611
"ACAP3",336.595671702028,0.301540104051878,0.378815849380933,0.79600709564993,0.426027911172618,0.617945212498417
"ACAT1",433.499741841299,0.290873955727035,0.354316808143351,0.820943147606342,0.41167865238832,0.604777002244092
"ACAT2",330.471032807452,0.740936747324852,0.376849203906563,1.96613589638513,0.0492829148642103,0.151224377912835
"ACBD3",1369.92427364991,0.190294041779578,0.217935290748549,0.873167632125891,0.382571714515518,0.576905547191008
"ACBD4",58.5446375536866,0.88300198103827,0.292019898263826,3.0237733328724,0.00249643402589632,0.0200217182309969
"ACBD5",578.316762558302,0.780582468652839,0.371226632530219,2.10271139043155,0.0354910057652002,0.12136513308416
"ACBD6",247.794310957258,0.268533408982721,0.19195531332718,1.3989370980579,0.161831846571727,0.331202624903915
"ACBD7",35.1395472623829,2.19841601664563,0.615303760477855,3.57289546701015,0.000353055722869098,0.00503071181526086
"ACCS",58.9022606470815,-0.199048433407216,0.403042034348077,-0.493865196291941,0.621401385550217,0.771841281308218
"ACCSL",2.02633927179587,3.17570322919447,0.865014378878428,3.67127218545438,0.000241346147048041,0.00387125355784051
"ACD",96.2821870682003,0.419131942610851,0.377949274737882,1.10896347903176,0.267445937255074,0.457727343295494
"ACE",146.290505849838,-0.341013741956353,0.473657730939733,-0.719958146317563,0.471550765364562,0.65502614725248
"ACE2",129.617855144037,-2.73498322278593,0.812128583176191,-3.36767265608306,0.000758055439144901,0.00866518026638054
"ACER1",4.08443506982879,2.3772729311932,0.772133883220195,3.07883513838139,0.00207811645692431,0.0176581590296004
