"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ABHD17A",138.217011070232,0.42729607142125,0.291709937850987,1.46479778703845,0.142976095828869,0.320462077108176
"ABHD17B",203.346560177772,-0.262937004283689,0.230197821575524,-1.14222194842719,0.253361774970392,0.457500102125614
"ABHD17C",145.669605111622,-0.0964401387485063,0.388851752401875,-0.248012611883092,0.804124648733208,0.893090094364352
"ABHD2",1662.16792166796,0.95054864162323,0.27297232816805,3.48221612059536,0.00049728217023123,0.00786880333409796
"ABHD3",166.587957334276,0.492061795429757,0.28266574219625,1.74079034695378,0.0817203346388985,0.22652053189664
"ABHD4",262.229218153785,0.377157381791356,0.344649425959715,1.09432180466026,0.27381386544562,0.480081465308656
"ABHD5",424.278786183058,-0.456626244492716,0.310379084404895,-1.47118883789553,0.141240054993624,0.318183309388196
"ABHD6",47.1602576973662,-0.0551434199264339,0.32364137868918,-0.17038433141577,0.864707893689995,0.928350749964148
"ABHD8",109.669645062853,0.325976612446348,0.415375698142071,0.784775358559504,0.432585290095158,0.629995841904764
"ABI1",1011.48029479632,-0.394581763534733,0.2068404170297,-1.90766277307435,0.0564348161584929,0.179007126276324
"ABI2",513.330208233028,0.368960322140898,0.270329729563929,1.36485292511508,0.172299280456864,0.359725515320598
"ABI3",68.3956356271916,0.10578612710832,0.301535393280866,0.350824909664203,0.725719708302928,0.845486515586674
"ABI3BP",191.08949050351,-0.284426719031707,0.551189690515943,-0.516023292753296,0.605838140943294,0.765787909544517
"ABL1",634.768163647334,-0.0666726177684924,0.29570401923059,-0.225470786436965,0.82161304933019,0.903476120266661
"ABL2",869.979200342947,-0.462622981856739,0.202724139273015,-2.2820320437208,0.0224874484886894,0.0991468331067444
"ABLIM1",1173.48775450092,-0.859392885958453,0.361580150811001,-2.37677008550079,0.0174649702888739,0.0842052516408581
"ABLIM2",39.4461747766729,0.739782906327133,0.458334437477829,1.61406790726459,0.106512697573745,0.266798671945355
"ABLIM3",152.935578295391,2.21229600457021,0.561901153503901,3.9371622406802,8.24508645898225e-05,0.00227972278111251
"ABO",4.4465261468924,0.449200913878883,0.769132484021233,0.584035810749195,0.559196219112092,0.731652389089889
"ABR",539.389402560687,-0.222391825930569,0.189255222416069,-1.17508950660104,0.239958908349234,0.442159825566293
"ABRA",5.13296934373836,0.819957687580513,0.740961374330475,1.10661326755584,0.268461168560346,0.474156637635566
"ABRACL",293.544073185828,-0.104966486125536,0.414028096485612,-0.253525031311935,0.79986252065467,0.890568140473238
"ABT1",248.133016089056,-0.537290341462805,0.343520163390526,-1.5640722109578,0.117800611160645,0.283730844554122
"ABTB1",130.860887554217,0.786331010136694,0.299950241012639,2.62153818407354,0.00875339559608397,0.0541979348770567
"ABTB2",111.836917301814,-1.28719077644366,0.261124708696066,-4.92941010014442,8.24782779609869e-07,8.26764759359652e-05
"AC093375.1",28.5621246448789,-1.67745127708283,0.764565067919597,-2.19399413793155,0.0282358309829177,0.114738253311806
"ACAA1",450.695949885056,0.229871236717506,0.352742215623028,0.651669197891435,0.514614597254195,0.697590791439737
"ACAA2",196.261997230501,-0.384142731375534,0.363464529672002,-1.05689193859492,0.290560907985678,0.497464179682415
"ACACA",1794.83885682229,-0.757767530617732,0.287017326678984,-2.640145594643,0.008287041717075,0.0520661355611719
"ACACB",245.818890545891,1.80309977837835,0.441740851104508,4.08180446492546,4.46873869339792e-05,0.00153888047624542
"ACAD10",200.707786404473,-0.0845442395762863,0.285407015410167,-0.296223410818355,0.767059471458328,0.871404572385513
"ACAD11",21.7740788109294,-0.270934193202487,0.456582544322909,-0.593395863620388,0.552916256463804,0.726847903205012
"ACAD8",134.062833708972,0.0917292638159783,0.238220357973432,0.385060557360965,0.700192549743626,0.829116198012475
"ACAD9",415.611107391174,-0.276633421645469,0.287106910260335,-0.963520597238955,0.335286332740181,0.541405192218463
"ACADL",4.43475773117464,0.192632231706355,0.741376878535717,0.259830374109886,0.79499462025078,0.887036083750164
"ACADM",465.532287008056,0.419449533501658,0.322524812173373,1.30051865056566,0.193423268258559,0.386825693062708
"ACADS",61.7337486751044,1.05500050293589,0.36038894688749,2.92739417245572,0.00341815365905911,0.0294899645188024
