"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ABCB1",71.8967628918234,0.0519346856140184,0.548635711553438,0.0946615113095129,0.9245836901721,0.965060258482546
"ABCB10",366.613979209997,-0.30511216255687,0.2812114377867,-1.0849920080004,0.277925194966041,0.508182585950896
"ABCB11",5.88519557568873,-1.48795674656337,0.794645190104315,-1.87247939721128,0.0611403096418769,0.213923956537243
"ABCB4",29.6741686600046,-0.30395624753407,0.584050499569342,-0.520428024217421,0.602765281830124,0.776411306759617
"ABCB5",17.6040583393967,0.126602549275819,0.685762572533764,0.184615717372918,0.853530457176206,0.927304945236706
"ABCB6",111.875218649429,0.319672981221066,0.455255779536821,0.702183246407772,0.482564892305893,0.688066435461806
"ABCB7",252.400380405325,0.0476509488461026,0.171375371090373,0.278050157049546,0.780973856423286,0.887308213980647
"ABCB8",208.249394139732,0.309883767167414,0.398953093068522,0.776742360321017,0.437310789442076,0.652178151134589
"ABCB9",69.687869442461,0.562126848614711,0.371701967261942,1.51230528252376,0.13045621782455,0.332042675122058
"ABCC1",536.308991960962,-0.448734171945627,0.332026254758844,-1.35150207404999,0.176534655970066,0.394790190835807
"ABCC10",180.589431089053,-0.784216638726005,0.256249428773823,-3.06036443662939,0.00221067813189991,0.0245666161568867
"ABCC11",396.087822708317,1.9982188505397,0.845137960219095,2.36437001365041,0.0180607640742559,0.100539054978474
"ABCC12",45.1447878542922,0.395254683247398,0.836591062706028,0.47245864899502,NA,NA
"ABCC13",6.50541797381431,1.18366523793724,0.767836882785191,1.54155819351071,0.123180991346689,0.319983006365198
"ABCC2",59.3565945749092,-1.94126285039552,0.676917353133393,-2.86779891431292,0.00413338147654243,0.0375163148085829
"ABCC3",266.200584898642,0.592847564185032,0.52005412398194,1.13997281599409,0.254297626581473,0.483454596492271
"ABCC4",350.725673945035,-1.04814290396318,0.458566326257137,-2.28569531591695,0.0222720894849581,0.114809737732202
"ABCC5",829.607281183901,1.14773210177833,0.366701219225289,3.12988351716715,0.00174875631554199,0.0207458872098605
"ABCC5-AS1",2.80379582980388,0.723002084842903,0.684483021791808,1.05627468005015,0.290842740359704,0.520816054291005
"ABCC6",56.024951755246,-0.0555733805427247,0.714302197581328,-0.0778009373776248,0.937986400791593,0.972073858985953
"ABCC6P1",4.96774884454978,-0.865363723331868,0.86131766569797,-1.00469752078128,0.315042522325264,0.545324101040492
"ABCC6P2",1.21020741156065,-0.211662387524314,0.908057055816725,-0.233093709440912,0.815688639524016,NA
"ABCC8",28.1992506346054,0.980925086164341,0.701767351026236,1.39779242327229,0.162175410273364,0.375826230703339
"ABCC9",299.842531861201,0.185613493902436,0.310973335376958,0.596879130094667,0.550588081935282,0.738685423432208
"ABCD1",153.317502007059,-0.497535300164165,0.322183566925376,-1.54426032622391,0.122525279647604,0.319026646795449
"ABCD2",33.5613745536578,-0.72209701016263,0.576489093047286,-1.252577054573,0.210359669688597,0.434610411244989
"ABCD3",1116.19983920018,0.619402176576974,0.286363235130113,2.16299475837231,0.0305415827696507,0.140094514951505
"ABCD4",60.6670804128992,-0.0376321790520942,0.345079468696194,-0.109053659999765,0.91315992956046,0.959639513074892
